run,energy,resolution_uncalib,resolution_uncalib_err,resolution_calib,resolution_calib_err
19318,30,1.93263,0.05034,1.95945,0.05037
19319,40,1.53415,0.05021,1.54694,0.05019
19320,60,1.02839,0.05011,0.99300,0.05009
19321,80,0.83907,0.05006,0.79019,0.05006
19322,100,0.69289,0.05006,0.67130,0.05005
19323,120,0.74699,0.05005,0.68498,0.05005
19324,150,0.75225,0.05004,0.71505,0.05004
19325,175,0.66795,0.05005,0.63428,0.05004
19328,225,0.54441,0.05003,0.50742,0.05002
19329,250,0.53186,0.05003,0.49327,0.05002
