run,energy,resolution_uncalib,resolution_uncalib_err,resolution_calib,resolution_calib_err
19318,30,1.75668,0.05047,1.86438,0.05037
19319,40,1.40390,0.05018,1.46018,0.05018
19320,60,0.93168,0.05012,0.97109,0.05008
19321,80,0.78263,0.05006,0.77649,0.05006
19322,100,0.68577,0.05005,0.66277,0.05004
19323,120,0.71774,0.05005,0.67834,0.05005
19324,150,0.83143,0.05006,0.79957,0.05005
19325,175,0.72402,0.05004,0.66586,0.05005
19328,225,0.57685,0.05003,0.54649,0.05002
19329,250,0.55651,0.05043,0.52479,0.05003
